iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
815	0.156919	159.221	-7.324133e+00	-1.478524e+03	-1.485848e+03
820	0.154736	152.78	-7.247082e+00	-1.477522e+03	-1.484770e+03
825	0.154736	147.6	-7.197557e+00	-1.477633e+03	-1.484831e+03
830	0.154736	142.702	-7.149318e+00	-1.479130e+03	-1.486279e+03
835	0.153561	143.822	-7.150988e+00	-1.478153e+03	-1.485304e+03
840	0.153561	143.822	-7.150988e+00	-1.478153e+03	-1.485304e+03
845	0.153561	144.077	-7.153512e+00	-1.478074e+03	-1.485228e+03
850	0.153561	154.056	-7.249567e+00	-1.477855e+03	-1.485105e+03
855	0.153466	144.843	-7.160324e+00	-1.477832e+03	-1.484992e+03
860	0.153466	142.211	-7.134143e+00	-1.478700e+03	-1.485835e+03
865	0.153466	146.865	-7.180145e+00	-1.477453e+03	-1.484633e+03
870	0.152983	153.322	-7.237988e+00	-1.477782e+03	-1.485020e+03
875	0.152983	157.077	-7.272881e+00	-1.478919e+03	-1.486192e+03
880	0.152983	149.789	-7.204479e+00	-1.477291e+03	-1.484495e+03
885	0.152983	150.204	-7.208454e+00	-1.477316e+03	-1.484525e+03
890	0.147318	142.501	-7.086329e+00	-1.476792e+03	-1.483878e+03
895	0.147318	138.735	-7.048211e+00	-1.477301e+03	-1.484349e+03
900	0.140528	132.616	-6.926167e+00	-1.476520e+03	-1.483446e+03
905	0.140528	132.847	-6.928622e+00	-1.476471e+03	-1.483399e+03
910	0.132243	122.792	-6.743760e+00	-1.476118e+03	-1.482861e+03
915	0.132243	125.761	-6.777206e+00	-1.475435e+03	-1.482212e+03
920	0.132243	125.761	-6.777206e+00	-1.475435e+03	-1.482212e+03
925	0.132243	128.508	-6.807554e+00	-1.475391e+03	-1.482198e+03
930	0.130023	130.397	-6.807531e+00	-1.476084e+03	-1.482892e+03
935	0.127655	118.959	-6.656690e+00	-1.475373e+03	-1.482030e+03
940	0.127655	120.324	-6.672583e+00	-1.475047e+03	-1.481719e+03
945	0.127655	128.656	-6.766337e+00	-1.476133e+03	-1.482899e+03
950	0.127655	123.326	-6.706989e+00	-1.474865e+03	-1.481572e+03
955	0.126654	123.326	-6.697480e+00	-1.474847e+03	-1.481544e+03
960	0.124601	117.315	-6.608107e+00	-1.474683e+03	-1.481291e+03
965	0.124601	117.006	-6.604436e+00	-1.474740e+03	-1.481345e+03
970	0.124601	115.461	-6.585996e+00	-1.475166e+03	-1.481752e+03
975	0.121879	115.461	-6.559426e+00	-1.474228e+03	-1.480787e+03
980	0.118837	115.461	-6.529138e+00	-1.473952e+03	-1.480481e+03
985	0.116621	115.461	-6.506648e+00	-1.474271e+03	-1.480778e+03
990	0.116621	116.416	-6.518078e+00	-1.474647e+03	-1.481165e+03
995	0.116621	116.416	-6.518078e+00	-1.474647e+03	-1.481165e+03
1000	0.119153	116.416	-6.543746e+00	-1.474109e+03	-1.480652e+03
1005	0.122201	112.133	-6.522138e+00	-1.475257e+03	-1.481779e+03
1010	0.122201	122.176	-6.641263e+00	-1.475254e+03	-1.481895e+03
